rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_turn,reward_overlap,reward_total,coverage_ratio,collision,action_override_rate,episode_done_count,episode_final_coverage_ratio,episode_final_collision,episode_final_steps
1.0,128.0,0.5390625,-0.23298857882618904,0.0,0.0,-0.10000000000000002,-0.033984375,-0.04609375,0.12599579617381093,0.018218687122736422,0.0,0.046875,0.0,,,
2.0,256.0,0.3828125,-0.0698873594403267,0.0,0.0,-0.10000000000000002,-0.0375,-0.061718749999999996,0.1137063905596733,0.04686714034205232,0.0,0.0234375,0.0,,,
3.0,384.0,0.2890625,-0.07209709063172341,0.0,0.0,-0.10000000000000002,-0.032812499999999994,-0.07109375,0.013059159368276577,0.07085481639839034,0.0,0.1015625,0.0,,,
4.0,512.0,0.234375,-0.03292355239391327,0.0,0.0,-0.10000000000000002,-0.034765625,-0.0765625,-0.009876677393913279,0.08704571177062373,0.0,0.015625,0.0,,,
5.0,640.0,0.3125,-0.07522209882736205,0.0,0.0,-0.10000000000000002,-0.037109375,-0.06874999999999999,0.031418526172637934,0.10507576710261571,0.0,0.0078125,0.0,,,
6.0,768.0,0.3515625,-0.07880472391843796,0.0,0.0,-0.10000000000000002,-0.0390625,-0.06484375,0.06885152608156203,0.12467775402414488,0.0,0.0546875,0.0,,,
7.0,896.0,0.28125,-0.04984297305345536,0.0,0.0,-0.10000000000000002,-0.035546875000000006,-0.071875,0.023985151946544634,0.14705420020120724,0.0,0.0390625,0.0,,,
8.0,1024.0,0.1640625,0.024006192386150364,0.0,0.0,-0.10000000000000002,-0.028515624999999996,-0.08359375,-0.024040682613849663,0.1614688128772636,0.0,0.078125,0.0,,,
9.0,1152.0,0.2109375,-0.017756196856498718,0.0,0.0,-0.10000000000000002,-0.033203125,-0.07890625,-0.018928071856498724,0.17137198189134809,0.0,0.0390625,0.0,,,
10.0,1280.0,0.140625,0.03871590793132782,0.0,0.0,-0.10000000000000002,-0.032812499999999994,-0.0859375,-0.03940909206867219,0.1853936116700201,0.0,0.078125,0.0,,,
11.0,1408.0,0.125,0.015088838338851931,0.0,0.0,-0.10000000000000002,-0.036328124999999996,-0.08750000000000001,-0.08373928666114809,0.19151628521126757,0.0,0.015625,0.0,,,
12.0,1536.0,0.0390625,0.011584705114364624,0.0,0.0,-0.10000000000000002,-0.038671874999999994,-0.09609375000000002,-0.18411841988563538,0.19748176559356134,0.0,0.0234375,0.0,,,
13.0,1664.0,0.234375,-0.025379130244255067,0.0,0.0,-0.10000000000000002,-0.03828125,-0.0765625,-0.005847880244255064,0.20698409205231388,0.0,0.0078125,0.0,,,
14.0,1792.0,0.0546875,0.015624998509883881,0.0,0.0,-0.10000000000000002,-0.03164062499999999,-0.09453125000000001,-0.15585937649011614,0.21586550553319916,0.0,0.0390625,0.0,,,
15.0,1920.0,0.1015625,-0.005334715917706493,0.0,0.0,-0.10000000000000002,-0.032421874999999996,-0.08984375000000001,-0.12603784091770648,0.21947308853118713,0.0,0.046875,0.0,,,
16.0,2048.0,0.1953125,0.031171484291553496,0.0,0.0,-0.10000000000000002,-0.036328125,-0.08046875,0.009687109291553484,0.23303885814889336,0.0,0.0234375,0.0,,,
17.0,2176.0,0.03125,-0.004419416189193726,0.0,0.0,-0.10000000000000002,-0.040625,-0.09687500000000002,-0.21066941618919377,0.23830482897384309,0.0,0.0,0.0,,,
18.0,2304.0,0.0078125,0.009754127264022827,0.0,0.0,-0.10000000000000002,-0.039453125000000006,-0.09921875000000002,-0.2211052477359772,0.238556338028169,0.0,0.0078125,0.0,,,
19.0,2432.0,0.015625,0.005334711074829102,0.0,0.0,-0.10000000000000002,-0.03515625,-0.09843750000000001,-0.2126340389251709,0.2398060236418511,0.0,0.0,0.0,,,
20.0,2560.0,0.0078125,0.010669417679309845,0.0,0.0,-0.10000000000000002,-0.034765624999999994,-0.09921875000000002,-0.21550245732069018,0.24015184859154926,0.0,0.0234375,0.0,,,
21.0,2688.0,0.1015625,0.007544411718845368,0.0,0.0,-0.10000000000000002,-0.032812499999999994,-0.08984375,-0.11354933828115464,0.24286343058350102,0.0,0.0859375,0.0,,,
22.0,2816.0,0.0390625,0.020044414699077605,0.0,0.0,-0.10000000000000002,-0.032812499999999994,-0.09609375000000002,-0.1697993353009224,0.24744561116700203,0.0,0.0859375,0.0,,,
23.0,2944.0,0.0,0.0,0.0,0.0,-0.10000000000000002,-0.035546875,-0.10000000000000002,-0.23554687500000002,0.2494969818913481,0.0,0.0703125,0.0,,,
24.0,3072.0,0.0,0.0,0.0,0.0,-0.10000000000000002,-0.03125,-0.10000000000000002,-0.23125,0.2494969818913481,0.0,0.15625,0.0,,,
25.0,3200.0,0.0,0.0,0.0,0.0,-0.10000000000000002,-0.03320312499999999,-0.10000000000000002,-0.233203125,0.2494969818913481,0.0,0.078125,0.0,,,
26.0,3328.0,0.0,0.0,0.0,0.0,-0.10000000000000002,-0.033203125,-0.10000000000000002,-0.233203125,0.2494969818913481,0.0,0.0859375,0.0,,,
27.0,3456.0,0.0078125,0.010669417679309845,0.0,0.0,-0.10000000000000002,-0.026953124999999998,-0.09921875000000002,-0.20768995732069018,0.24996070171026158,0.0,0.0703125,0.0,,,
28.0,3584.0,0.0078125,0.010669417679309845,0.0,0.0,-0.10000000000000002,-0.0359375,-0.09921875000000002,-0.21667433232069017,0.2503143863179075,0.0,0.0390625,0.0,,,
29.0,3712.0,0.109375,-0.01821383461356163,0.0,0.0,-0.10000000000000002,-0.03828125,-0.08906250000000002,-0.13618258461356164,0.2521771252515091,0.0,0.03125,0.0,,,
30.0,3840.0,0.3984375,-0.1612706333398819,0.0,0.0,-0.10000000000000002,-0.030468749999999996,-0.06015625000000001,0.046541866660118066,0.2691461267605634,0.0,0.015625,0.0,,,
31.0,3968.0,0.4296875,-0.1220185548067093,0.0,0.0,-0.10000000000000002,-0.030078124999999997,-0.05703124999999999,0.1205595701932907,0.29722868460764584,0.0,0.0703125,0.0,,,
