rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_turn,reward_overlap,reward_total,coverage_ratio,collision,action_override_rate,episode_done_count,episode_final_coverage_ratio,episode_final_collision,episode_final_steps
1.0,128.0,0.4609375,-0.11234295032918452,0.0,0.0,-0.10000000000000002,-0.030859374999999994,-0.053906249999999996,0.16382892467081545,0.033812248490945676,0.0,0.0625,0.0,,,
2.0,256.0,0.4140625,-0.13451859056949617,0.0,0.0,-0.10000000000000002,-0.03515625,-0.05859374999999999,0.08579390943050381,0.09372642102615696,0.0,0.015625,0.0,,,
3.0,384.0,0.078125,-0.018592971563339236,0.0,0.0,-0.10000000000000002,-0.0375,-0.0921875,-0.17015547156333924,0.12039424044265597,0.0,0.0,0.0,,,
4.0,512.0,0.3515625,-0.06722004115581512,0.0,0.0,-0.10000000000000002,-0.032421875,-0.06484375,0.08707683384418485,0.1439732142857143,0.0,0.078125,0.0,,,
