rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_total,coverage_ratio,collision
1.0,8.0,0.625,-0.1499999940395355,0.0,0.0,-0.1,0.3750000059604645,0.005403458213256484,0.0
2.0,16.0,0.5,-0.042677664756774904,0.0,0.0,-0.1,0.35732233524322515,0.013328530259365994,0.0
