rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_turn,reward_overlap,reward_total,coverage_ratio,collision,action_override_rate,episode_done_count,episode_final_coverage_ratio,episode_final_collision,episode_final_steps
1.0,64.0,0.546875,-0.22544416412711143,0.0,0.0,-0.09999999999999999,-0.0375,-0.0453125,0.13861833587288858,0.020167882293762575,0.0,0.015625,0.0,,,
2.0,128.0,0.4375,-0.1949524223804474,0.0,0.0,-0.09999999999999999,-0.0359375,-0.05625,0.05036007761955261,0.04824258048289738,0.0,0.0,0.0,,,
3.0,192.0,0.21875,-0.04084708392620087,0.0,0.0,-0.09999999999999999,-0.03515625,-0.078125,-0.03537833392620088,0.07340920523138833,0.0,0.0,0.0,,,
4.0,256.0,0.421875,-0.10334708392620087,0.0,0.0,-0.09999999999999999,-0.0375,-0.0578125,0.12321541607379913,0.08897132796780684,0.0,0.078125,0.0,,,
5.0,320.0,0.25,-0.028504133224487305,0.0,0.0,-0.09999999999999999,-0.026562500000000003,-0.075,0.019933366775512697,0.11317907444668007,0.0,0.09375,0.0,,,
6.0,384.0,0.140625,-0.0062499970197677605,0.0,0.0,-0.09999999999999999,-0.024218750000000004,-0.0859375,-0.07578124701976775,0.12671340543259557,0.0,0.21875,0.0,,,
7.0,448.0,0.203125,0.012499985098838807,0.0,0.0,-0.09999999999999999,-0.03749999999999999,-0.0796875,-0.0015625149011611892,0.13474597585513082,0.0,0.015625,0.0,,,
8.0,512.0,0.453125,-0.08993178009986878,0.0,0.0,-0.09999999999999999,-0.03125,-0.0546875,0.17725571990013123,0.1621919014084507,0.0,0.015625,0.0,,,
