rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_total,coverage_ratio,collision
1.0,64.0,0.359375,-0.08017768487334251,0.0,-1.40625,-0.09999999999999999,-1.2270526848733425,0.054126794258373204,0.140625
2.0,128.0,0.078125,-0.01249999925494194,0.0,-1.5625,-0.09999999999999999,-1.5968749992549418,0.1051883971291866,0.15625
3.0,192.0,0.25,-0.04801236987113953,0.0,-1.875,-0.09999999999999999,-1.7730123698711397,0.06511662679425836,0.1875
4.0,256.0,0.3125,-0.02683058157563209,0.0,-1.25,-0.09999999999999999,-1.0643305815756319,0.0996561004784689,0.125
