rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_turn,reward_overlap,reward_total,coverage_ratio,collision,action_override_rate,episode_done_count,episode_final_coverage_ratio,episode_final_collision,episode_final_steps
1.0,128.0,0.4296875,-0.0939720842987299,0.0,0.0,-0.10000000000000002,-0.021484375,-0.05703125,0.1571997907012701,0.019173221614227087,0.0,0.2421875,0.0,,,
2.0,256.0,0.46875,-0.10067972168326379,0.0,0.0,-0.10000000000000002,-0.027734375,-0.05312499999999999,0.1872109033167362,0.05921896374829001,0.0,0.1171875,0.0,,,
3.0,384.0,0.28125,-0.00533470809459686,0.0,0.0,-0.10000000000000002,-0.034375,-0.071875,0.06966529190540312,0.09280950752393982,0.0,0.046875,0.0,,,
4.0,512.0,0.2890625,-0.07042354419827462,0.0,0.0,-0.10000000000000002,-0.024218749999999997,-0.07109374999999998,0.023326455801725373,0.11389577633378933,0.0,0.1953125,0.0,,,
