rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_total,coverage_ratio,collision
1.0,32.0,0.25,-0.062499997019767765,0.0,-4.375,-0.1,-4.287499997019767,0.013215859030837006,0.4375
2.0,64.0,0.53125,-0.26187183856964114,0.0,-0.625,-0.1,-0.45562183856964106,0.0397852422907489,0.0625
