rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_total,coverage_ratio,collision
1.0,256.0,0.25,-0.02027323823422194,0.0,-1.6015625,-0.10000000000000002,-1.4718357382342222,0.011525524809160305,0.16015625
2.0,512.0,0.01953125,0.014252063073217868,0.0,-2.03125,-0.10000000000000002,-2.097466686926783,0.02087786259541985,0.203125
3.0,768.0,0.00390625,0.0028961772099137307,0.0,-1.171875,-0.10000000000000002,-1.2650725727900864,0.021515982824427484,0.1171875
4.0,1024.0,0.0,0.0,0.0,-1.3671875,-0.10000000000000002,-1.4671875,0.0216793893129771,0.13671875
5.0,1280.0,0.0,0.0,0.0,-1.2890625,-0.10000000000000002,-1.3890625000000003,0.0216793893129771,0.12890625
6.0,1536.0,0.046875,-0.016366988979279996,0.0,-0.8984375,-0.10000000000000002,-0.96792948897928,0.018970658396946567,0.08984375
7.0,1792.0,0.11328125,-0.02105448693037033,0.0,-1.796875,-0.10000000000000002,-1.8046482369303707,0.006858301526717557,0.1796875
8.0,2048.0,0.2578125,-0.05765547081828117,0.0,-1.171875,-0.10000000000000002,-1.0717179708182811,0.023096374045801525,0.1171875
9.0,2304.0,0.22265625,-0.021796480566263203,0.0,-1.5234375,-0.10000000000000002,-1.4225777305662637,0.04389432251908397,0.15234375
10.0,2560.0,0.05859375,0.008002065122127533,0.0,-1.640625,-0.10000000000000002,-1.6740291848778726,0.052315124045801534,0.1640625
11.0,2816.0,0.07421875,0.01821383833885193,0.0,-1.328125,-0.10000000000000002,-1.3356924116611482,0.05819060114503816,0.1328125
12.0,3072.0,0.1328125,-0.01646177489310503,0.0,-1.2109375,-0.10000000000000002,-1.1945867748931052,0.046077051526717566,0.12109375
