rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_turn,reward_overlap,reward_total,coverage_ratio,collision,action_override_rate,episode_done_count,episode_final_coverage_ratio,episode_final_collision,episode_final_steps
1.0,64.0,0.5625,-0.17651649937033653,0.0,0.0,-0.09999999999999999,-0.028906249999999998,-0.04375,0.21332725062966346,0.021629778672032196,0.0,0.125,0.0,,,
2.0,128.0,0.421875,-0.09267763793468475,0.0,0.0,-0.09999999999999999,-0.03203125,-0.0578125,0.1393536120653152,0.0500503018108652,0.0,0.015625,0.0,,,
3.0,192.0,0.625,-0.30562186539173125,0.0,0.0,-0.09999999999999999,-0.03359375,-0.0375,0.1482843846082687,0.08274647887323944,0.0,0.03125,0.0,,,
4.0,256.0,0.375,-0.16019828319549562,0.0,0.0,-0.09999999999999999,-0.03203125,-0.0625,0.020270466804504384,0.11981262575452716,0.0,0.078125,0.0,,,
5.0,320.0,0.28125,-0.039016515016555786,0.0,0.0,-0.09999999999999999,-0.034374999999999996,-0.071875,0.0359834849834442,0.13771692655935613,0.0,0.046875,0.0,,,
6.0,384.0,0.015625,0.021338838338851928,0.0,0.0,-0.09999999999999999,-0.042187499999999996,-0.09843749999999998,-0.20366116166114806,0.14708563883299797,0.0,0.0,0.0,,,
7.0,448.0,0.21875,0.04633883237838745,0.0,0.0,-0.09999999999999999,-0.0375,-0.078125,0.049463832378387446,0.15676873742454728,0.0,0.0625,0.0,,,
8.0,512.0,0.46875,-0.09785533845424652,0.0,0.0,-0.09999999999999999,-0.0359375,-0.053125,0.18183216154575346,0.1774710764587525,0.0,0.0,0.0,,,
